Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối,matched_txn_id,from,subject,kind,user_account,label
WLFJR-CD-0195,****0104,DECLINE_FEE,SUCCESS,0.58,EUR,116.86,0.0,0.0,FX fee for APPLE.COM/BILL,2026-08-11 16:21:00,,CD-0195,,,,,OTHER
WLFJR-CD-0194,****0104,CARD_PAYMENT,SUCCESS,57.54,EUR,116.86,0.0,0.0,Apple,2026-08-11 16:20:00,,CD-0194,,,,,OTHER
WLFJR-CD-0013,****0102,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,0.0,0.0,Subscription Spotify P0F2K,2026-08-09 12:11:00,,CD-0013,receipts@google.com,Your receipt from GOOGLE,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0057,,WALLET_TOP_UP,SUCCESS,2001.66,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-08-09 02:47:00,,WL-0057,,,,,OTHER
WLFJR-CD-0121,****0103,CARD_PAYMENT,SUCCESS,3.73,USD,1167.86,0.0,0.0,The Coffee House,2026-08-08 12:50:00,,CD-0121,,,,,OTHER
WLFJR-WL-0145,,WALLET_WITHDRAW_BANK,SUCCESS,1936.92,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-08-08 04:27:00,,WL-0145,,,,,OTHER
WLFJR-WL-0056,,WALLET_TOP_UP,SUCCESS,1522.1,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-08-07 13:27:00,,WL-0056,,,,,OTHER
WLFJR-CD-0007,****0102,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,0.0,0.0,Subscription NETFLIX.COM,2026-08-06 12:56:00,,CD-0007,receipts@spotify.com,Your receipt from Spotify P0F2K,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0163,****0101,CARD_PAYMENT,SUCCESS,150.23,USD,96.33,0.0,0.0,Shopee,2026-08-04 07:37:00,,CD-0163,noreply@vultr.com,Order confirmation - Vultr,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0025,****0103,CARD_PAYMENT,SUCCESS,20.0,USD,1167.86,0.0,0.0,Subscription OPENAI *CHATGPT SUBSCR,2026-08-03 19:07:00,,CD-0025,receipts@adobe.com,Your receipt from ADOBE,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0119,****0102,CARD_PAYMENT,SUCCESS,145.34,USD,355.72,0.0,0.0,Amazon,2026-08-03 01:38:00,,CD-0119,,,,,OTHER
WLFJR-CD-0116,****0102,CARD_PAYMENT,SUCCESS,10.71,USD,355.72,0.0,0.0,Grab,2026-08-02 19:53:00,,CD-0116,noreply@aliexpress.com,Order confirmation - AliExpress,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0219,****0103,CARD_PAYMENT,SUCCESS,9.99,USD,1167.86,0.0,0.0,Unrecognized,2026-08-02 03:47:00,,CD-0219,,,,,OTHER
WLFJR-CD-0084,****0102,CARD_PAYMENT,SUCCESS,98.71,USD,355.72,0.0,0.0,Amazon,2026-08-01 16:04:00,,CD-0084,,,,,OTHER
WLFJR-CD-0092,****0102,CARD_PAYMENT,SUCCESS,296.06,USD,355.72,0.0,0.0,Facebook Ads,2026-08-01 01:23:00,,CD-0092,,,,,OTHER
WLFJR-CD-0101,****0101,CARD_PAYMENT,SUCCESS,27.71,USD,96.33,0.0,0.0,Namecheap,2026-07-31 18:52:00,,CD-0101,,,,,OTHER
WLFJR-CD-0201,****0104,DECLINE_FEE,SUCCESS,0.49,EUR,116.86,0.0,0.0,FX fee for SHOPEE *ORDER,2026-07-30 10:33:00,,CD-0201,noreply@shopee.com,Order confirmation - Shopee,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0200,****0104,CARD_PAYMENT,SUCCESS,48.86,EUR,116.86,0.0,0.0,Shopee,2026-07-30 10:32:00,,CD-0200,,,,,OTHER
WLFJR-CD-0073,****0102,CARD_PAYMENT,SUCCESS,101.04,USD,355.72,0.0,0.0,Lazada,2026-07-29 15:52:00,,CD-0073,,,,,OTHER
WLFJR-CD-0128,****0103,CARD_PAYMENT,SUCCESS,32.32,USD,1167.86,0.0,0.0,The Coffee House,2026-07-28 20:33:00,,CD-0128,noreply@booking.com.com,Order confirmation - Booking.com,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0169,****0101,CARD_PAYMENT,SUCCESS,570.66,USD,96.33,0.0,0.0,Facebook Ads,2026-07-28 15:51:00,,CD-0169,,,,,OTHER
WLFJR-CD-0063,****0101,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,0.0,0.0,Subscription NORDVPN *MONTHLY,2026-07-28 11:46:00,,CD-0063,,,,,SUBSCRIPTION
WLFJR-CD-0124,****0101,CARD_PAYMENT,SUCCESS,27.27,USD,96.33,0.0,0.0,Uber,2026-07-28 08:39:00,,CD-0124,noreply@booking.com.com,Order confirmation - Booking.com,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0160,****0102,CARD_PAYMENT,SUCCESS,30.66,USD,355.72,0.0,0.0,Shopee,2026-07-27 20:06:00,,CD-0160,,,,,OTHER
WLFJR-CD-0057,****0102,CARD_PAYMENT,SUCCESS,16.0,USD,355.72,0.0,0.0,Subscription CLOUDWAYS HOSTING,2026-07-27 17:15:00,,CD-0057,receipts@nordvpn.com,Your receipt from NORDVPN,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0164,****0102,CARD_PAYMENT,SUCCESS,52.98,USD,355.72,0.0,0.0,Vultr,2026-07-27 05:01:00,,CD-0164,,,,,OTHER
WLFJR-CD-0051,****0103,CARD_PAYMENT,SUCCESS,15.0,USD,1167.86,0.0,0.0,Subscription FIGMA.COM,2026-07-24 09:53:00,,CD-0051,receipts@cloudways.com,Your receipt from CLOUDWAYS HOSTING,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0038,,WALLET_TOP_UP,SUCCESS,410.96,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-07-22 12:42:00,,WL-0038,,,,,OTHER
WLFJR-CD-0114,****0104,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,0.0,0.0,FX fee for GRAB* RIDE HCM,2026-07-21 21:40:00,,CD-0114,,,,,OTHER
WLFJR-CD-0113,****0104,CARD_PAYMENT,SUCCESS,18.04,EUR,116.86,0.0,0.0,Grab,2026-07-21 21:39:00,,CD-0113,,,,,OTHER
WLFJR-CD-0045,****0101,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,0.0,0.0,Subscription CANVA* PRO MONTHLY,2026-07-21 14:13:00,,CD-0045,receipts@figma.com,Your receipt from FIGMA.COM,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0144,,WALLET_WITHDRAW_BANK,SUCCESS,1689.29,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-21 03:15:00,,WL-0144,,,,,OTHER
WLFJR-WL-0037,,WALLET_TOP_UP,SUCCESS,977.74,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-07-21 01:15:00,,WL-0037,,,,,OTHER
WLFJR-CD-0220,****0104,CARD_TOP_UP,PENDING,300.0,EUR,116.86,0.0,0.0,Nạp thẻ (chưa vào thẻ),2026-07-20 10:00:00,,CD-0220,,,,,OTHER
WLFJR-WL-0059,,WALLET_WITHDRAW,SUCCESS,300.0,USD,,0.0,0.0,Nạp vào thẻ Volcano EU (VC04) — tiền đã rời ví,2026-07-20 10:00:00,,WL-0059,,,,,OTHER
WLFJR-CD-0199,****0104,DECLINE_FEE,SUCCESS,0.3,EUR,116.86,0.0,0.0,FX fee for SQ *THE COFFEE HOUSE,2026-07-19 23:11:00,,CD-0199,noreply@shopee.com,Order confirmation - Shopee,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0198,****0104,CARD_PAYMENT,SUCCESS,30.23,EUR,116.86,0.0,0.0,The Coffee House,2026-07-19 23:10:00,,CD-0198,,,,,OTHER
WLFJR-CD-0192,****0104,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,0.0,0.0,FX fee for UBER *EATS,2026-07-19 06:31:00,,CD-0192,,,,,OTHER
WLFJR-CD-0191,****0104,CARD_PAYMENT,SUCCESS,18.25,EUR,116.86,0.0,0.0,Uber,2026-07-19 06:30:00,,CD-0191,,,,,OTHER
WLFJR-CD-0090,****0101,CARD_PAYMENT,SUCCESS,22.89,USD,96.33,0.0,0.0,Namecheap,2026-07-19 03:48:00,,CD-0090,,,,,OTHER
WLFJR-CD-0038,****0101,CARD_PAYMENT,SUCCESS,10.0,USD,96.33,0.0,0.0,Subscription PADDLE.NET* NOTION,2026-07-18 11:14:00,,CD-0038,receipts@paddle.com,Your receipt from PADDLE.NET,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0189,****0101,CARD_PAYMENT,SUCCESS,22.55,USD,96.33,0.0,0.0,Namecheap,2026-07-17 07:15:00,,CD-0189,,,,,OTHER
WLFJR-CD-0031,****0103,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,0.0,0.0,Subscription ADOBE *CREATIVE CLD,2026-07-15 10:21:00,,CD-0031,receipts@adobe.com,Your receipt from ADOBE,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0018,****0102,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,0.0,0.0,Subscription GOOGLE *YOUTUBEPREM,2026-07-12 08:14:00,,CD-0018,receipts@google.com,Your receipt from GOOGLE,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0187,****0102,CARD_PAYMENT,SUCCESS,16.41,USD,355.72,0.0,0.0,Grab,2026-07-12 05:21:00,,CD-0187,noreply@grab.com,Order confirmation - Grab,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0143,,WALLET_WITHDRAW_BANK,SUCCESS,2014.08,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-11 18:41:00,,WL-0143,,,,,OTHER
WLFJR-WL-0055,,WALLET_TOP_UP,SUCCESS,2164.6,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-07-11 09:41:00,,WL-0055,,,,,OTHER
WLFJR-CD-0181,****0104,DECLINE_FEE,SUCCESS,2.37,EUR,116.86,0.0,0.0,FX fee for ALIEXPRESS.COM,2026-07-11 05:54:00,,CD-0181,,,,,OTHER
WLFJR-CD-0180,****0104,CARD_PAYMENT,SUCCESS,237.21,EUR,116.86,0.0,0.0,AliExpress,2026-07-11 05:53:00,,CD-0180,,,,,OTHER
WLFJR-CD-0012,****0102,CARD_PAYMENT,PENDING,9.99,USD,355.72,0.0,0.0,Subscription Spotify P0F2K,2026-07-09 08:19:00,,CD-0012,receipts@spotify.com,Your receipt from Spotify P0F2K,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0142,,WALLET_WITHDRAW_BANK,SUCCESS,1679.05,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-08 18:58:00,,WL-0142,,,,,OTHER
WLFJR-CD-0106,****0104,DECLINE_FEE,SUCCESS,0.29,EUR,116.86,0.0,0.0,FX fee for NAMECHEAP* DOMAIN,2026-07-08 10:34:00,,CD-0106,,,,,OTHER
WLFJR-CD-0105,****0104,CARD_PAYMENT,SUCCESS,29.03,EUR,116.86,0.0,0.0,Namecheap,2026-07-08 10:33:00,,CD-0105,,,,,OTHER
WLFJR-WL-0054,,WALLET_TOP_UP,SUCCESS,2044.27,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-07-08 09:58:00,,WL-0054,,,,,OTHER
WLFJR-CD-0123,****0101,CARD_PAYMENT,SUCCESS,580.23,USD,96.33,0.0,0.0,Booking.com,2026-07-06 17:49:00,,CD-0123,noreply@uber.com,Order confirmation - Uber,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0006,****0102,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,0.0,0.0,Subscription NETFLIX.COM,2026-07-06 12:43:00,,CD-0006,receipts@netflix.com,Your receipt from NETFLIX.COM,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0140,,WALLET_WITHDRAW_BANK,SUCCESS,2130.11,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-06 11:16:00,,WL-0140,,,,,OTHER
WLFJR-WL-0141,,WALLET_WITHDRAW_BANK,SUCCESS,2538.49,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-06 01:29:00,,WL-0141,,,,,OTHER
WLFJR-WL-0053,,WALLET_TOP_UP,SUCCESS,2550.57,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-07-05 21:29:00,,WL-0053,,,,,OTHER
WLFJR-CD-0215,****0101,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,0.0,0.0,Shopee order (DUPLICATE),2026-07-05 20:17:00,,CD-0215,,,,,OTHER
WLFJR-WL-0036,,WALLET_TOP_UP,SUCCESS,2298.57,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-07-05 20:16:00,,WL-0036,,,,,OTHER
WLFJR-CD-0214,****0101,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,0.0,0.0,Shopee order,2026-07-05 20:14:00,,CD-0214,,,,,OTHER
WLFJR-CD-0098,****0104,DECLINE_FEE,SUCCESS,2.2,EUR,116.86,0.0,0.0,FX fee for BOOKING.COM 9931,2026-07-05 08:09:00,,CD-0098,,,,,OTHER
WLFJR-CD-0097,****0104,CARD_PAYMENT,CANCEL,220.34,EUR,116.86,0.0,0.0,Booking.com,2026-07-05 08:08:00,,CD-0097,,,,,OTHER
WLFJR-CD-0024,****0103,CARD_PAYMENT,SUCCESS,20.0,USD,1167.86,0.0,0.0,Subscription OPENAI *CHATGPT SUBSCR,2026-07-03 17:41:00,,CD-0024,receipts@openai.com,Your receipt from OPENAI,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0110,****0101,CARD_PAYMENT,SUCCESS,29.25,USD,96.33,0.0,0.0,Apple,2026-07-02 17:36:00,,CD-0110,noreply@grab.com,Order confirmation - Grab,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0148,****0103,CARD_PAYMENT,CANCEL,168.74,USD,1167.86,0.0,0.0,Booking.com,2026-07-01 19:44:00,,CD-0148,,,,,OTHER
WLFJR-CD-0064,****0103,CARD_PAYMENT,SUCCESS,149.71,USD,1167.86,0.0,0.0,Shopee,2026-07-01 17:51:00,,CD-0064,,,,,OTHER
WLFJR-CD-0147,****0101,CARD_PAYMENT,SUCCESS,588.8,USD,96.33,0.0,0.0,Booking.com,2026-07-01 11:10:00,,CD-0147,,,,,OTHER
WLFJR-WL-0139,,WALLET_WITHDRAW_BANK,SUCCESS,2284.47,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-07-01 06:45:00,,WL-0139,,,,,OTHER
WLFJR-WL-0019,,WALLET_TOP_UP,SUCCESS,2486.79,USD,,0.0,0.0,Nhận & chuyển về ví: Payoneer (USD),2026-06-30 11:45:00,,WL-0019,,,,,OTHER
WLFJR-CD-0162,****0102,CARD_PAYMENT,SUCCESS,31.72,USD,355.72,0.0,0.0,Steam,2026-06-30 03:11:00,,CD-0162,noreply@shopee.com,Order confirmation - Shopee,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0082,****0104,DECLINE_FEE,CANCEL,0.53,EUR,116.86,0.0,0.0,FX fee for STEAMGAMES.COM,2026-06-29 19:24:00,,CD-0082,,,,,OTHER
WLFJR-CD-0081,****0104,CARD_PAYMENT,SUCCESS,52.54,EUR,116.86,0.0,0.0,Steam,2026-06-29 19:23:00,,CD-0081,,,,,OTHER
WLFJR-WL-0138,,WALLET_WITHDRAW_BANK,SUCCESS,2503.56,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-28 17:09:00,,WL-0138,,,,,OTHER
WLFJR-CD-0062,****0101,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,0.0,0.0,Subscription NORDVPN *MONTHLY,2026-06-28 15:56:00,,CD-0062,receipts@nordvpn.com,Your receipt from NORDVPN,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0218,****0104,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,0.0,0.0,FX fee (DUPLICATE),2026-06-28 15:02:00,,CD-0218,,,,,OTHER
WLFJR-CD-0217,****0104,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,0.0,0.0,FX fee,2026-06-28 15:01:00,,CD-0217,,,,,OTHER
WLFJR-CD-0216,****0104,CARD_PAYMENT,SUCCESS,65.88,EUR,116.86,0.0,0.0,AliExpress (EUR),2026-06-28 15:00:00,,CD-0216,,,,,OTHER
WLFJR-WL-0035,,WALLET_TOP_UP,SUCCESS,1499.9,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-06-27 23:09:00,,WL-0035,,,,,OTHER
WLFJR-CD-0056,****0102,CARD_PAYMENT,SUCCESS,16.0,USD,355.72,0.0,0.0,Subscription CLOUDWAYS HOSTING,2026-06-27 09:59:00,,CD-0056,receipts@cloudways.com,Your receipt from CLOUDWAYS HOSTING,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0094,****0101,CARD_PAYMENT,SUCCESS,66.22,USD,96.33,0.0,0.0,Amazon,2026-06-25 15:01:00,,CD-0094,,,,,OTHER
WLFJR-WL-0052,,WALLET_TOP_UP,SUCCESS,468.87,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-06-25 13:18:00,,WL-0052,,,,,OTHER
WLFJR-CD-0095,****0103,CARD_PAYMENT,SUCCESS,585.37,USD,1167.86,0.0,0.0,Booking.com,2026-06-24 18:50:00,,CD-0095,,,,,OTHER
WLFJR-CD-0171,****0103,CARD_PAYMENT,SUCCESS,75.53,USD,1167.86,0.0,0.0,Lazada,2026-06-24 12:17:00,,CD-0171,,,,,OTHER
WLFJR-CD-0050,****0103,CARD_PAYMENT,SUCCESS,15.0,USD,1167.86,0.0,0.0,Subscription FIGMA.COM,2026-06-24 10:12:00,,CD-0050,receipts@figma.com,Your receipt from FIGMA.COM,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0137,,WALLET_WITHDRAW_BANK,SUCCESS,2591.12,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-23 23:21:00,,WL-0137,,,,,OTHER
WLFJR-CD-0161,****0102,CARD_PAYMENT,SUCCESS,17.8,USD,355.72,0.0,0.0,Apple,2026-06-23 19:12:00,,CD-0161,,,,,OTHER
WLFJR-CD-0151,****0102,CARD_PAYMENT,SUCCESS,24.61,USD,355.72,0.0,0.0,AliExpress,2026-06-23 05:35:00,,CD-0151,noreply@amazon.com,Order confirmation - Amazon,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0034,,WALLET_TOP_UP,SUCCESS,2246.52,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-06-23 02:21:00,,WL-0034,,,,,OTHER
WLFJR-CD-0211,****0103,CARD_REFUND,SUCCESS,88.0,USD,1167.86,0.0,0.0,Hotel refund,2026-06-22 10:00:00,,CD-0211,,,,,OTHER
WLFJR-CD-0044,****0101,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,0.0,0.0,Subscription CANVA* PRO MONTHLY,2026-06-21 13:40:00,,CD-0044,receipts@canva.com,Your receipt from CANVA,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0190,****0101,CARD_PAYMENT,SUCCESS,180.94,USD,96.33,0.0,0.0,Amazon,2026-06-20 10:48:00,,CD-0190,,,,,OTHER
WLFJR-CD-0197,****0101,CARD_PAYMENT,PENDING,190.22,USD,96.33,0.0,0.0,Shopee,2026-06-20 10:13:00,,CD-0197,noreply@the.com,Order confirmation - The Coffee House,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0140,****0103,CARD_PAYMENT,SUCCESS,30.55,USD,1167.86,0.0,0.0,The Coffee House,2026-06-19 18:09:00,,CD-0140,,,,,OTHER
WLFJR-CD-0037,****0101,CARD_PAYMENT,SUCCESS,10.0,USD,96.33,0.0,0.0,Subscription PADDLE.NET* NOTION,2026-06-18 11:11:00,,CD-0037,receipts@paddle.com,Your receipt from PADDLE.NET,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0051,,WALLET_TOP_UP,SUCCESS,282.76,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-06-16 15:36:00,,WL-0051,,,,,OTHER
WLFJR-CD-0118,****0101,CARD_PAYMENT,SUCCESS,77.79,USD,96.33,0.0,0.0,Lazada,2026-06-16 06:09:00,,CD-0118,noreply@amazon.com,Order confirmation - Amazon,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0030,****0103,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,0.0,0.0,Subscription ADOBE *CREATIVE CLD,2026-06-15 15:27:00,,CD-0030,receipts@adobe.com,Your receipt from ADOBE,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0077,****0103,CARD_PAYMENT,SUCCESS,31.33,USD,1167.86,0.0,0.0,Steam,2026-06-15 00:16:00,,CD-0077,,,,,OTHER
WLFJR-CD-0129,****0101,CARD_PAYMENT,SUCCESS,480.85,USD,96.33,0.0,0.0,Booking.com,2026-06-14 16:45:00,,CD-0129,,,,,OTHER
WLFJR-CD-0153,****0103,CARD_PAYMENT,SUCCESS,20.46,USD,1167.86,0.0,0.0,Namecheap,2026-06-14 13:56:00,,CD-0153,noreply@vultr.com,Order confirmation - Vultr,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0130,****0103,CARD_PAYMENT,SUCCESS,57.82,USD,1167.86,0.0,0.0,Apple,2026-06-13 05:23:00,,CD-0130,,,,,OTHER
WLFJR-CD-0017,****0102,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,0.0,0.0,Subscription GOOGLE *YOUTUBEPREM,2026-06-12 14:31:00,,CD-0017,receipts@google.com,Your receipt from GOOGLE,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0144,****0104,DECLINE_FEE,SUCCESS,0.14,EUR,116.86,0.0,0.0,FX fee for NAMECHEAP* DOMAIN,2026-06-10 22:38:00,,CD-0144,,,,,OTHER
WLFJR-CD-0143,****0104,CARD_PAYMENT,SUCCESS,13.9,EUR,116.86,0.0,0.0,Namecheap,2026-06-10 22:37:00,,CD-0143,,,,,OTHER
WLFJR-CD-0138,****0102,CARD_PAYMENT,SUCCESS,55.07,USD,355.72,0.0,0.0,Apple,2026-06-10 19:38:00,,CD-0138,noreply@shopee.com,Order confirmation - Shopee,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0146,****0102,CARD_PAYMENT,SUCCESS,202.39,USD,355.72,0.0,0.0,Shopee,2026-06-09 17:05:00,,CD-0146,noreply@booking.com.com,Order confirmation - Booking.com,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0011,****0102,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,0.0,0.0,Subscription Spotify P0F2K,2026-06-09 08:11:00,,CD-0011,receipts@spotify.com,Your receipt from Spotify P0F2K,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0089,****0101,CARD_PAYMENT,SUCCESS,116.78,USD,96.33,0.0,0.0,Amazon,2026-06-08 20:06:00,,CD-0089,,,,,OTHER
WLFJR-WL-0134,,WALLET_WITHDRAW_BANK,SUCCESS,2211.88,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-08 10:10:00,,WL-0134,,,,,OTHER
WLFJR-WL-0135,,WALLET_WITHDRAW_BANK,SUCCESS,2182.41,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-08 08:10:00,,WL-0135,,,,,OTHER
WLFJR-WL-0133,,WALLET_WITHDRAW_BANK,SUCCESS,1143.15,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-08 03:22:00,,WL-0133,,,,,OTHER
WLFJR-WL-0136,,WALLET_WITHDRAW_BANK,SUCCESS,2552.15,USD,,0.0,0.0,Rút về ngân hàng ACB ****2231,2026-06-08 03:21:00,,WL-0136,,,,,OTHER
WLFJR-WL-0050,,WALLET_TOP_UP,SUCCESS,226.22,USD,,0.0,0.0,Nhận & chuyển về ví: Amazon (USD),2026-06-07 22:31:00,,WL-0050,,,,,OTHER
WLFJR-WL-0018,,WALLET_TOP_UP,SUCCESS,2219.48,USD,,0.0,0.0,Nhận & chuyển về ví: Payoneer (USD),2026-06-07 17:21:00,,WL-0018,,,,,OTHER
WLFJR-WL-0060,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,0.0,0.0,Nhận & chuyển về ví (BÚT TOÁN TRÙNG),2026-06-07 17:10:00,,WL-0060,,,,,OTHER
WLFJR-WL-0033,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,0.0,0.0,Nhận & chuyển về ví: Paypal (USD),2026-06-07 14:10:00,,WL-0033,,,,,OTHER
