Mã giao dịch,Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối
WLF15-CD-0193,d00239aa-82c2-4939-a07c-e334759ef7ab,****0004,CARD_PAYMENT,SUCCESS,57.54,EUR,116.86,,,Apple,2026-08-11 16:20:00,
WLF15-CD-0012,489896bd-fe4d-4948-a317-a68bebbf9a2c,****0002,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-08-09 12:11:00,
WLF15-WL-0056,ea0d13a8-6e47-448d-ac91-a9d03be73bd8,,WALLET_TOP_UP,SUCCESS,2001.66,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-08-09 02:47:00,
WLF15-CD-0120,85fd4e97-cc29-4a48-a32c-3b2bcaaf4dd0,****0003,CARD_PAYMENT,SUCCESS,3.73,USD,1167.86,,,The Coffee House,2026-08-08 12:50:00,
WLF15-WL-0144,36df1c31-6ca5-4f64-a6d0-f67b060c2512,,WALLET_WITHDRAW_BANK,SUCCESS,1936.92,USD,,,,Rút về ngân hàng ACB ****2231,2026-08-08 04:27:00,
WLF15-WL-0055,05183eec-fb32-4184-a046-9a14cfdc3cca,,WALLET_TOP_UP,SUCCESS,1522.1,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-08-07 13:27:00,
WLF15-CD-0006,73fcf7a2-5d1b-4a18-aa45-877269f2d43b,****0002,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-08-06 12:56:00,
WLF15-CD-0162,368dabea-0d81-4d7d-a8ba-a14b7a6d9469,****0001,CARD_PAYMENT,SUCCESS,150.23,USD,96.33,,,Shopee,2026-08-04 07:37:00,
WLF15-CD-0024,554660d6-c782-4163-a2bc-69e367b4f887,****0003,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-08-03 19:07:00,
WLF15-CD-0118,b918c551-1752-4a96-a0c8-3e16236d7b56,****0002,CARD_PAYMENT,SUCCESS,145.34,USD,355.72,,,Amazon,2026-08-03 01:38:00,
WLF15-CD-0115,c7c09efa-d715-43bc-a1eb-1dad28fdef02,****0002,CARD_PAYMENT,SUCCESS,10.71,USD,355.72,,,Grab,2026-08-02 19:53:00,
WLF15-CD-0218,f2cb495d-f813-4e36-a113-27cbc020ecc8,****0003,CARD_PAYMENT,SUCCESS,9.99,USD,1167.86,,,Unrecognized,2026-08-02 03:47:00,
WLF15-CD-0083,b19b0ecb-b298-409c-ad3f-0e34342b4ead,****0002,CARD_PAYMENT,SUCCESS,98.71,USD,355.72,,,Amazon,2026-08-01 16:04:00,
WLF15-CD-0091,f9eab0a9-1b90-4f12-a808-ddc9e0ca4a36,****0002,CARD_PAYMENT,SUCCESS,296.06,USD,355.72,,,Facebook Ads,2026-08-01 01:23:00,
WLF15-CD-0100,cd8b2a66-d6bb-4c37-a0a4-513682427ddb,****0001,CARD_PAYMENT,SUCCESS,27.71,USD,96.33,,,Namecheap,2026-07-31 18:52:00,
WLF15-CD-0200,3d6dd510-a2d6-4cff-aac1-ca120850d6e4,****0004,DECLINE_FEE,SUCCESS,0.49,EUR,116.86,,,FX fee for SHOPEE *ORDER,2026-07-30 10:33:00,
WLF15-CD-0199,690cf72e-3b14-4f88-a239-71be9d5250af,****0004,CARD_PAYMENT,SUCCESS,48.86,EUR,116.86,,,Shopee,2026-07-30 10:32:00,
WLF15-CD-0072,b3c2d7af-8783-41b1-aeb9-a1a3c0c5ca01,****0002,CARD_PAYMENT,SUCCESS,101.04,USD,355.72,,,Lazada,2026-07-29 15:52:00,
WLF15-CD-0127,700032bd-aa88-4792-a47c-f1a8ac25d934,****0003,CARD_PAYMENT,SUCCESS,32.32,USD,1167.86,,,The Coffee House,2026-07-28 20:33:00,
WLF15-CD-0168,d243d251-4d2a-447e-acd8-2fd7a7e6d236,****0001,CARD_PAYMENT,SUCCESS,570.66,USD,96.33,,,Facebook Ads,2026-07-28 15:51:00,
WLF15-CD-0062,b6270f7b-2636-481a-aedd-e75f20dbd828,****0001,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,,,Subscription NORDVPN *MONTHLY,2026-07-28 11:46:00,
WLF15-CD-0123,c8d982b3-3a27-4147-a056-b8a1d4dd796b,****0001,CARD_PAYMENT,SUCCESS,27.27,USD,96.33,,,Uber,2026-07-28 08:39:00,
WLF15-CD-0159,41a4d10e-1a8d-4cc5-a540-088681e4b7ce,****0002,CARD_PAYMENT,SUCCESS,30.66,USD,355.72,,,Shopee,2026-07-27 20:06:00,
WLF15-CD-0056,4d179139-1854-4c12-a6ac-de8a35fcf5d9,****0002,CARD_PAYMENT,SUCCESS,16,USD,355.72,,,Subscription CLOUDWAYS HOSTING,2026-07-27 17:15:00,
WLF15-CD-0163,9ee5756b-b4d0-487f-a8ab-97d83edbe0ed,****0002,CARD_PAYMENT,SUCCESS,52.98,USD,355.72,,,Vultr,2026-07-27 05:01:00,
WLF15-CD-0050,98ae0b3c-0566-43ea-a414-7a70402f0fd1,****0003,CARD_PAYMENT,SUCCESS,15,USD,1167.86,,,Subscription FIGMA.COM,2026-07-24 09:53:00,
WLF15-WL-0037,06fdb7db-da64-47f3-a765-7f46b0dddfdb,,WALLET_TOP_UP,SUCCESS,410.96,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-22 12:42:00,
WLF15-CD-0113,dcdbd617-563c-4ee4-aaa5-727a7933f6b4,****0004,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,,,FX fee for GRAB* RIDE HCM,2026-07-21 21:40:00,
WLF15-CD-0112,593acf0d-9c9e-4210-a198-b033d82cd7c3,****0004,CARD_PAYMENT,SUCCESS,18.04,EUR,116.86,,,Grab,2026-07-21 21:39:00,
WLF15-CD-0044,e5d30a4b-8205-4948-aafa-5a4c3f9c7426,****0001,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,,,Subscription CANVA* PRO MONTHLY,2026-07-21 14:13:00,
WLF15-WL-0143,25159290-1c44-4da1-abbb-454b49960c94,,WALLET_WITHDRAW_BANK,SUCCESS,1689.29,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-21 03:15:00,
WLF15-WL-0036,3e66eaf9-05c8-4d0e-a57e-a2d2fbb50b1e,,WALLET_TOP_UP,SUCCESS,977.74,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-21 01:15:00,
WLF15-WL-0058,9b4bd209-fde6-4f46-a049-f5331d105ed3,,WALLET_WITHDRAW,SUCCESS,300,USD,,,,Nạp vào thẻ Volcano EU (VC04) — tiền đã rời ví,2026-07-20 10:00:00,
WLF15-CD-0219,d81e5c98-e24a-406b-ac3f-9959e7ef72d8,****0004,CARD_TOP_UP,PENDING,300,EUR,116.86,,,Nạp thẻ (chưa vào thẻ),2026-07-20 10:00:00,
WLF15-CD-0198,46b4c83d-b360-4516-afd6-38b06f7614b2,****0004,DECLINE_FEE,SUCCESS,0.3,EUR,116.86,,,FX fee for SQ *THE COFFEE HOUSE,2026-07-19 23:11:00,
WLF15-CD-0197,5599b404-892b-4bcc-acd2-055d0d0cbf8a,****0004,CARD_PAYMENT,SUCCESS,30.23,EUR,116.86,,,The Coffee House,2026-07-19 23:10:00,
WLF15-CD-0191,362286e8-e620-4550-ad2c-b8554a002dfc,****0004,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,,,FX fee for UBER *EATS,2026-07-19 06:31:00,
WLF15-CD-0190,987b0dd2-ab39-404f-a1ec-df107844a69a,****0004,CARD_PAYMENT,SUCCESS,18.25,EUR,116.86,,,Uber,2026-07-19 06:30:00,
WLF15-CD-0089,edbf1bb9-4ccc-43ae-a271-6fb2764c7c90,****0001,CARD_PAYMENT,SUCCESS,22.89,USD,96.33,,,Namecheap,2026-07-19 03:48:00,
WLF15-CD-0037,29301982-c324-4ea1-abc5-3148da869955,****0001,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-07-18 11:14:00,
WLF15-CD-0188,e9891db5-ce5b-4b0b-a4c6-14a0ce252f11,****0001,CARD_PAYMENT,SUCCESS,22.55,USD,96.33,,,Namecheap,2026-07-17 07:15:00,
WLF15-CD-0030,149180ab-f754-497e-aba6-8777c6b83d8e,****0003,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-07-15 10:21:00,
WLF15-CD-0017,ef1586c3-60e5-445b-a158-b382091b078b,****0002,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-07-12 08:14:00,
WLF15-CD-0186,327e734a-b13c-4d8b-a7a7-6cec9043c03f,****0002,CARD_PAYMENT,SUCCESS,16.41,USD,355.72,,,Grab,2026-07-12 05:21:00,
WLF15-WL-0142,e69331ef-819b-459b-ac4b-863be999c179,,WALLET_WITHDRAW_BANK,SUCCESS,2014.08,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-11 18:41:00,
WLF15-WL-0054,e1499619-68ed-418e-af3f-4b06e49361c3,,WALLET_TOP_UP,SUCCESS,2164.6,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-11 09:41:00,
WLF15-CD-0180,2c99600f-8461-49f5-ae91-52cbf14a5e47,****0004,DECLINE_FEE,SUCCESS,2.37,EUR,116.86,,,FX fee for ALIEXPRESS.COM,2026-07-11 05:54:00,
WLF15-CD-0179,ffaf76c7-c755-427c-a7ec-799af906ac52,****0004,CARD_PAYMENT,SUCCESS,237.21,EUR,116.86,,,AliExpress,2026-07-11 05:53:00,
WLF15-CD-0011,c228489a-6e2f-494a-a811-8db90da3cd4a,****0002,CARD_PAYMENT,PENDING,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-07-09 08:19:00,
WLF15-WL-0141,6d822d84-b529-4ea4-ab9a-e65ee8a8e554,,WALLET_WITHDRAW_BANK,SUCCESS,1679.05,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-08 18:58:00,
WLF15-CD-0105,9b180e8d-c349-4d52-aa58-d72d8d9b0fc7,****0004,DECLINE_FEE,SUCCESS,0.29,EUR,116.86,,,FX fee for NAMECHEAP* DOMAIN,2026-07-08 10:34:00,
WLF15-CD-0104,dd8425ba-dae8-4105-aac6-46fdb3c0ee9a,****0004,CARD_PAYMENT,SUCCESS,29.03,EUR,116.86,,,Namecheap,2026-07-08 10:33:00,
WLF15-WL-0053,6e25c12e-3c52-4ab3-ac3f-23442a174fa7,,WALLET_TOP_UP,SUCCESS,2044.27,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-08 09:58:00,
WLF15-CD-0122,92795133-f8cc-469b-a48e-f09700f83d96,****0001,CARD_PAYMENT,SUCCESS,580.23,USD,96.33,,,Booking.com,2026-07-06 17:49:00,
WLF15-CD-0005,27f283b1-fd22-4258-a639-61c38747debc,****0002,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-07-06 12:43:00,
WLF15-WL-0139,317f09b7-402a-4ce0-af3d-17adf4b72033,,WALLET_WITHDRAW_BANK,SUCCESS,2130.11,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-06 11:16:00,
WLF15-WL-0140,c54bb31c-627d-4964-a764-7122aa0b168e,,WALLET_WITHDRAW_BANK,SUCCESS,2538.49,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-06 01:29:00,
WLF15-WL-0052,b56872cb-7f3f-4be9-abad-b81e1a7ae716,,WALLET_TOP_UP,SUCCESS,2550.57,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-05 21:29:00,
WLF15-CD-0214,752e5507-5753-4d9d-a8ce-f41c493fd749,****0001,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,,,Shopee order (DUPLICATE),2026-07-05 20:17:00,
WLF15-WL-0035,7ef55d09-88a4-4fc8-a05f-3eb7b0f7f261,,WALLET_TOP_UP,SUCCESS,2298.57,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-05 20:16:00,
WLF15-CD-0213,b6d00e9b-24e4-4593-a0c0-226f1932ed09,****0001,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,,,Shopee order,2026-07-05 20:14:00,
WLF15-CD-0097,4d9af5dd-e484-45d0-a3a3-74f42d399449,****0004,DECLINE_FEE,SUCCESS,2.2,EUR,116.86,,,FX fee for BOOKING.COM 9931,2026-07-05 08:09:00,
WLF15-CD-0096,73ec206e-e2ca-452c-a149-09a1943113a5,****0004,CARD_PAYMENT,CANCEL,220.34,EUR,116.86,,,Booking.com,2026-07-05 08:08:00,
WLF15-CD-0023,29762a45-3818-4ca8-af12-da883f24e115,****0003,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-07-03 17:41:00,
WLF15-CD-0109,0b2eb969-0575-4d82-aefa-02ef0b6cc49a,****0001,CARD_PAYMENT,SUCCESS,29.25,USD,96.33,,,Apple,2026-07-02 17:36:00,
WLF15-CD-0147,19f781c6-7967-4855-a9ee-83f0d8233c15,****0003,CARD_PAYMENT,CANCEL,168.74,USD,1167.86,,,Booking.com,2026-07-01 19:44:00,
WLF15-CD-0063,0ae192c1-ee6e-4e60-ae2f-7d137876f2e0,****0003,CARD_PAYMENT,SUCCESS,149.71,USD,1167.86,,,Shopee,2026-07-01 17:51:00,
WLF15-CD-0146,03a91146-bec1-49a3-ac1e-8b0586016591,****0001,CARD_PAYMENT,SUCCESS,588.8,USD,96.33,,,Booking.com,2026-07-01 11:10:00,
WLF15-WL-0138,87b7c14b-2bf7-4fc7-a682-f73ae13314da,,WALLET_WITHDRAW_BANK,SUCCESS,2284.47,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-01 06:45:00,
WLF15-WL-0018,5d675a6e-5aa9-422b-adfb-2e37859de88e,,WALLET_TOP_UP,SUCCESS,2486.79,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-30 11:45:00,
WLF15-CD-0161,44eed5b6-0067-4437-a55e-0be474b442b7,****0002,CARD_PAYMENT,SUCCESS,31.72,USD,355.72,,,Steam,2026-06-30 03:11:00,
WLF15-CD-0081,f7ce36f2-dde4-4dec-af60-0a222b8039a7,****0004,DECLINE_FEE,CANCEL,0.53,EUR,116.86,,,FX fee for STEAMGAMES.COM,2026-06-29 19:24:00,
WLF15-CD-0080,d11777f3-03c5-4efb-a224-51d16ee06e2b,****0004,CARD_PAYMENT,SUCCESS,52.54,EUR,116.86,,,Steam,2026-06-29 19:23:00,
WLF15-WL-0137,0c609d46-544c-4979-ae27-96870e4c90d0,,WALLET_WITHDRAW_BANK,SUCCESS,2503.56,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-28 17:09:00,
WLF15-CD-0061,2348f29b-7f45-4e0e-ab9c-3f7411caffd9,****0001,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,,,Subscription NORDVPN *MONTHLY,2026-06-28 15:56:00,
WLF15-CD-0217,958839b1-4d4d-4403-ac2f-02800b93efff,****0004,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,,,FX fee (DUPLICATE),2026-06-28 15:02:00,
WLF15-CD-0216,3ad20636-40af-495b-a3f1-959a67025117,****0004,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,,,FX fee,2026-06-28 15:01:00,
WLF15-CD-0215,e97ab272-ac8b-407b-ad7a-969dce689b96,****0004,CARD_PAYMENT,SUCCESS,65.88,EUR,116.86,,,AliExpress (EUR),2026-06-28 15:00:00,
WLF15-WL-0034,040ceaa7-80b3-4f50-a8af-846e69887f70,,WALLET_TOP_UP,SUCCESS,1499.9,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-27 23:09:00,
WLF15-CD-0055,6dc8f7e5-5fbe-409f-a93f-581e50bb9978,****0002,CARD_PAYMENT,SUCCESS,16,USD,355.72,,,Subscription CLOUDWAYS HOSTING,2026-06-27 09:59:00,
WLF15-CD-0093,baf55104-76b3-4eef-abeb-e8372bc0b940,****0001,CARD_PAYMENT,SUCCESS,66.22,USD,96.33,,,Amazon,2026-06-25 15:01:00,
WLF15-WL-0051,335f2a58-c8cc-4ddb-a34d-5afaf93fe253,,WALLET_TOP_UP,SUCCESS,468.87,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-25 13:18:00,
WLF15-CD-0094,3e8e5479-f022-4c30-a977-f36405a5ac42,****0003,CARD_PAYMENT,SUCCESS,585.37,USD,1167.86,,,Booking.com,2026-06-24 18:50:00,
WLF15-CD-0170,3d9bc979-6ce5-47d3-a6cc-b0f5f414ba07,****0003,CARD_PAYMENT,SUCCESS,75.53,USD,1167.86,,,Lazada,2026-06-24 12:17:00,
WLF15-CD-0049,f7e30692-a52b-44f7-ab90-4105c67e4627,****0003,CARD_PAYMENT,SUCCESS,15,USD,1167.86,,,Subscription FIGMA.COM,2026-06-24 10:12:00,
WLF15-WL-0136,559d5608-dd45-4411-a6b6-446c24d9d936,,WALLET_WITHDRAW_BANK,SUCCESS,2591.12,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-23 23:21:00,
WLF15-CD-0160,036255a7-7d60-482c-ac9c-8b578fe667d6,****0002,CARD_PAYMENT,SUCCESS,17.8,USD,355.72,,,Apple,2026-06-23 19:12:00,
WLF15-CD-0150,7849a92b-ed2a-46a4-ac3a-09592d7a308d,****0002,CARD_PAYMENT,SUCCESS,24.61,USD,355.72,,,AliExpress,2026-06-23 05:35:00,
WLF15-WL-0033,2cc45ae9-ca55-4377-ae7d-2ba9e88daabe,,WALLET_TOP_UP,SUCCESS,2246.52,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-23 02:21:00,
WLF15-CD-0210,58d03df3-b016-4ca7-a193-29b3a61e0349,****0003,CARD_REFUND,SUCCESS,88,USD,1167.86,,,Hotel refund,2026-06-22 10:00:00,
WLF15-CD-0043,6b261b88-6fe9-4ae7-a373-013ac729bf22,****0001,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,,,Subscription CANVA* PRO MONTHLY,2026-06-21 13:40:00,
WLF15-CD-0189,39d05e4e-2fee-40b5-ae83-7ebb9769c692,****0001,CARD_PAYMENT,SUCCESS,180.94,USD,96.33,,,Amazon,2026-06-20 10:48:00,
WLF15-CD-0196,0e80a2a4-cd88-4fd5-a76b-e0990202e3ca,****0001,CARD_PAYMENT,PENDING,190.22,USD,96.33,,,Shopee,2026-06-20 10:13:00,
WLF15-CD-0139,8acbde56-d902-44c9-a806-34941e489ef5,****0003,CARD_PAYMENT,SUCCESS,30.55,USD,1167.86,,,The Coffee House,2026-06-19 18:09:00,
WLF15-CD-0036,a3152b2e-8d9c-4736-a95a-9230defc638f,****0001,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-06-18 11:11:00,
WLF15-WL-0050,5ab1ec7b-114e-4cbf-a579-68a0d20994cc,,WALLET_TOP_UP,SUCCESS,282.76,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-16 15:36:00,
WLF15-CD-0117,17ad68fa-e127-4fb5-ab8d-50fdfc27f786,****0001,CARD_PAYMENT,SUCCESS,77.79,USD,96.33,,,Lazada,2026-06-16 06:09:00,
WLF15-CD-0029,149e0291-c22b-4438-a6f5-9889dac5bc32,****0003,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-06-15 15:27:00,
WLF15-CD-0076,9a387e9a-1be1-4e2d-aa63-804d66ffe26b,****0003,CARD_PAYMENT,SUCCESS,31.33,USD,1167.86,,,Steam,2026-06-15 00:16:00,
WLF15-CD-0128,b6a9b510-9f26-44a7-af8c-af45b1c95bf2,****0001,CARD_PAYMENT,SUCCESS,480.85,USD,96.33,,,Booking.com,2026-06-14 16:45:00,
WLF15-CD-0152,c72c3b81-c0b2-4156-aacb-75617ad468bc,****0003,CARD_PAYMENT,SUCCESS,20.46,USD,1167.86,,,Namecheap,2026-06-14 13:56:00,
WLF15-CD-0129,da6c7cc3-c14f-473f-a255-f9969bf97648,****0003,CARD_PAYMENT,SUCCESS,57.82,USD,1167.86,,,Apple,2026-06-13 05:23:00,
WLF15-CD-0016,9acc6230-d619-40ee-a1fd-ad8e9a273468,****0002,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-06-12 14:31:00,
WLF15-CD-0143,1d4a0685-7911-4274-ae45-d02cbf5bb403,****0004,DECLINE_FEE,SUCCESS,0.14,EUR,116.86,,,FX fee for NAMECHEAP* DOMAIN,2026-06-10 22:38:00,
WLF15-CD-0142,6d42d1a9-b1ce-4c54-a3ff-5bb81b507376,****0004,CARD_PAYMENT,SUCCESS,13.9,EUR,116.86,,,Namecheap,2026-06-10 22:37:00,
WLF15-CD-0137,2eb3540e-9d02-4f2c-a53a-90b864491f1c,****0002,CARD_PAYMENT,SUCCESS,55.07,USD,355.72,,,Apple,2026-06-10 19:38:00,
WLF15-CD-0145,2cc7b307-3eb7-418e-a517-b139dc0b47c2,****0002,CARD_PAYMENT,SUCCESS,202.39,USD,355.72,,,Shopee,2026-06-09 17:05:00,
WLF15-CD-0010,d403827c-e9c0-47c6-a8c7-cfbe566a9fd2,****0002,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-06-09 08:11:00,
WLF15-CD-0088,ae6cfcd4-9dba-40ce-a77f-d1b905d63003,****0001,CARD_PAYMENT,SUCCESS,116.78,USD,96.33,,,Amazon,2026-06-08 20:06:00,
WLF15-WL-0133,0a469cf8-e1af-443f-a13a-2f4dfe568f7e,,WALLET_WITHDRAW_BANK,SUCCESS,2211.88,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 10:10:00,
WLF15-WL-0134,03d48ee9-f6ae-4719-a31a-590c6e7ff396,,WALLET_WITHDRAW_BANK,SUCCESS,2182.41,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 08:10:00,
WLF15-WL-0132,f93b462f-ac63-4422-a541-bc595234b248,,WALLET_WITHDRAW_BANK,SUCCESS,1143.15,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 03:22:00,
WLF15-WL-0135,d2f69ce2-66f0-4350-a534-202c4dea576d,,WALLET_WITHDRAW_BANK,SUCCESS,2552.15,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 03:21:00,
WLF15-WL-0049,3401d459-6ff4-4d06-a0cf-580daefc3659,,WALLET_TOP_UP,SUCCESS,226.22,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-07 22:31:00,
WLF15-WL-0017,bb0f2e2c-9d1e-43c3-a5ea-80a6ff8ebd67,,WALLET_TOP_UP,SUCCESS,2219.48,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-07 17:21:00,
WLF15-WL-0059,d3b16f88-e8d7-4adf-a963-50af57dc4bf8,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,,,Nhận & chuyển về ví (BÚT TOÁN TRÙNG),2026-06-07 17:10:00,
WLF15-WL-0032,cc078ea7-2b3d-498b-ab4f-8203af23f1e3,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-07 14:10:00,
WLF15-WL-0048,3f316600-762a-4162-acab-6336507f5f33,,WALLET_TOP_UP,SUCCESS,831.75,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-07 11:22:00,
WLF15-WL-0016,7b9c941e-f279-4221-a630-b79cd023c6ba,,WALLET_TOP_UP,SUCCESS,153.6,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-06 23:37:00,
WLF15-CD-0004,80e6718c-7725-4c92-a488-916ea4cd26ce,****0002,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-06-06 17:21:00,
WLF15-CD-0102,d41ade42-0940-48e4-a6e0-784f0bf0a129,****0003,CARD_PAYMENT,SUCCESS,20.92,USD,1167.86,,,Grab,2026-06-04 21:50:00,
WLF15-CD-0022,a7ff2c6e-129a-44ea-a39b-265723ce5bff,****0003,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-06-03 17:11:00,
WLF15-CD-0212,a2609880-7937-4532-afbd-fd81193c385e,****0003,CARD_TOP_UP,FAILURE,300,USD,1167.86,,,Top-up declined,2026-06-03 13:00:00,
WLF15-WL-0015,c4cee55f-1910-4752-a8b2-f1513a5353ff,,WALLET_TOP_UP,SUCCESS,183.4,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-02 14:59:00,
