Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối
2aa4c98b-8bf5-4eed-882f-07d3521a0eb7,,WALLET_TOP_UP,SUCCESS,2001.66,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-08-09 02:47:00,
0ba2284c-94d8-45f8-8b17-97c55b30d2b7,****0203,CARD_PAYMENT,SUCCESS,3.73,USD,1167.86,,,The Coffee House,2026-08-08 12:50:00,
08aabe54-874c-449e-8b42-2280f98165bc,,WALLET_WITHDRAW_BANK,SUCCESS,1936.92,USD,,,,Rút về ngân hàng ACB ****2231,2026-08-08 04:27:00,
7f4c3e29-e119-4d43-8c18-fcf85f10476f,,WALLET_TOP_UP,SUCCESS,1522.1,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-08-07 13:27:00,
a32c316f-1e89-4f03-8024-0780a9bbedb1,****0202,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-08-06 12:56:00,
4262a9f9-19e5-4027-84c5-a8616c0dc46b,****0201,CARD_PAYMENT,SUCCESS,150.23,USD,96.33,,,Shopee,2026-08-04 07:37:00,
dc26ceaf-c370-4b6c-81d1-109cd1590c25,****0203,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-08-03 19:07:00,
8ec961b4-6942-41c7-80e8-4cd42dbcccd3,****0202,CARD_PAYMENT,SUCCESS,145.34,USD,355.72,,,Amazon,2026-08-03 01:38:00,
df23af36-b22a-482c-8716-649f5bd9acd5,****0202,CARD_PAYMENT,SUCCESS,10.71,USD,355.72,,,Grab,2026-08-02 19:53:00,
0432f25d-c425-44df-8ce1-4b1e9935c2ae,****0203,CARD_PAYMENT,SUCCESS,9.99,USD,1167.86,,,Unrecognized,2026-08-02 03:47:00,
13861a70-c4cd-45f6-8b47-de6a900818ea,****0202,CARD_PAYMENT,SUCCESS,98.71,USD,355.72,,,Amazon,2026-08-01 16:04:00,
e8a3bd15-164b-4128-8e65-e31ef05f5995,****0202,CARD_PAYMENT,SUCCESS,296.06,USD,355.72,,,Facebook Ads,2026-08-01 01:23:00,
f85a2d24-e487-427a-876b-9a179c77422f,****0201,CARD_PAYMENT,SUCCESS,27.71,USD,96.33,,,Namecheap,2026-07-31 18:52:00,
a1495953-fbc6-403c-8652-200643133c6a,****0204,DECLINE_FEE,SUCCESS,0.49,EUR,116.86,,,FX fee for SHOPEE *ORDER,2026-07-30 10:33:00,
83454983-306b-4a98-81a5-a75e3841d5da,****0204,CARD_PAYMENT,SUCCESS,48.86,EUR,116.86,,,Shopee,2026-07-30 10:32:00,
4982974b-9697-4cba-82aa-6ff1a22790f5,****0202,CARD_PAYMENT,SUCCESS,101.04,USD,355.72,,,Lazada,2026-07-29 15:52:00,
b48c8d1a-7f44-438f-843f-537cbb5fad6e,****0203,CARD_PAYMENT,SUCCESS,32.32,USD,1167.86,,,The Coffee House,2026-07-28 20:33:00,
030b98be-1efd-41e3-8977-20dbbfb39d3f,****0201,CARD_PAYMENT,SUCCESS,570.66,USD,96.33,,,Facebook Ads,2026-07-28 15:51:00,
9c030516-3017-40ca-8704-71a8a77962ea,****0201,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,,,Subscription NORDVPN *MONTHLY,2026-07-28 11:46:00,
530e6b86-28c8-42de-8b2f-6f247ac03113,****0201,CARD_PAYMENT,SUCCESS,27.27,USD,96.33,,,Uber,2026-07-28 08:39:00,
4a5d7e8a-4862-45ef-8066-3860adeb739e,****0202,CARD_PAYMENT,SUCCESS,30.66,USD,355.72,,,Shopee,2026-07-27 20:06:00,
c0c1cefa-7445-4075-80c5-6f589b05803e,****0202,CARD_PAYMENT,SUCCESS,16,USD,355.72,,,Subscription CLOUDWAYS HOSTING,2026-07-27 17:15:00,
c7e19523-0e1f-4bd1-80e1-ce7d11bdcac5,****0202,CARD_PAYMENT,SUCCESS,52.98,USD,355.72,,,Vultr,2026-07-27 05:01:00,
c6bfa6f1-6fdd-44ad-88c8-d59b16927960,****0203,CARD_PAYMENT,SUCCESS,15,USD,1167.86,,,Subscription FIGMA.COM,2026-07-24 09:53:00,
e5ed50da-2f4a-4d68-818f-2ed55ba3cbfa,,WALLET_TOP_UP,SUCCESS,410.96,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-22 12:42:00,
995f9dfe-da18-45c2-8c41-9c307d6bf6b1,****0204,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,,,FX fee for GRAB* RIDE HCM,2026-07-21 21:40:00,
26ba3764-1d08-49ba-8cf5-9408701d844e,****0204,CARD_PAYMENT,SUCCESS,18.04,EUR,116.86,,,Grab,2026-07-21 21:39:00,
4eff719b-ef93-403a-81fe-ddb3d7d83c73,****0201,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,,,Subscription CANVA* PRO MONTHLY,2026-07-21 14:13:00,
3967b101-a4cf-4a32-811c-077811805de5,,WALLET_WITHDRAW_BANK,SUCCESS,1689.29,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-21 03:15:00,
ac3978f3-a291-4847-8ff9-1864813e3de4,,WALLET_TOP_UP,SUCCESS,977.74,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-21 01:15:00,
05668f4f-eb3d-4080-8d43-2b0642b6de13,,WALLET_WITHDRAW,SUCCESS,300,USD,,,,Nạp vào thẻ Volcano EU (VC04) — tiền đã rời ví,2026-07-20 10:00:00,
eb281af8-f8a7-45c8-8792-e25e574036e6,****0204,CARD_TOP_UP,PENDING,300,EUR,116.86,,,Nạp thẻ (chưa vào thẻ),2026-07-20 10:00:00,
4ca34d8f-b1f3-44a8-8adb-d8098ae118a6,****0204,DECLINE_FEE,SUCCESS,0.3,EUR,116.86,,,FX fee for SQ *THE COFFEE HOUSE,2026-07-19 23:11:00,
a3410f6c-e43f-433e-8c1a-9c6563ff7940,****0204,CARD_PAYMENT,SUCCESS,30.23,EUR,116.86,,,The Coffee House,2026-07-19 23:10:00,
da1d3534-0a81-49bd-8fa9-59dee7d91e95,****0204,DECLINE_FEE,SUCCESS,0.18,EUR,116.86,,,FX fee for UBER *EATS,2026-07-19 06:31:00,
55f008f6-bd88-4928-88e8-13180e552c86,****0204,CARD_PAYMENT,SUCCESS,18.25,EUR,116.86,,,Uber,2026-07-19 06:30:00,
02e647ad-bac5-4572-82ae-e57549ad8a06,****0201,CARD_PAYMENT,SUCCESS,22.89,USD,96.33,,,Namecheap,2026-07-19 03:48:00,
c50fe4a3-0f5f-47bf-8a1c-3b586b279fd4,****0201,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-07-18 11:14:00,
e8324af4-f32c-40c7-8ff8-00bec52f1f53,****0201,CARD_PAYMENT,SUCCESS,22.55,USD,96.33,,,Namecheap,2026-07-17 07:15:00,
1c8cd922-df9c-4fb9-88a8-0833a3f6d18e,****0203,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-07-15 10:21:00,
07762bab-2948-4fd8-8f35-444a3108ba1a,****0202,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-07-12 08:14:00,
8b08c76d-30f7-4ee7-89f8-ca1760f27ade,****0202,CARD_PAYMENT,SUCCESS,16.41,USD,355.72,,,Grab,2026-07-12 05:21:00,
55578138-4d89-4400-8e8c-0857e9a4df35,,WALLET_WITHDRAW_BANK,SUCCESS,2014.08,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-11 18:41:00,
2d28642e-e6ee-4557-8238-5dd64c1d3b4b,,WALLET_TOP_UP,SUCCESS,2164.6,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-11 09:41:00,
3c98c958-e4a8-4cdf-8cf7-d5f096f4fc49,****0204,DECLINE_FEE,SUCCESS,2.37,EUR,116.86,,,FX fee for ALIEXPRESS.COM,2026-07-11 05:54:00,
d647c073-802b-4cff-8e3f-e36fcfd460a3,****0204,CARD_PAYMENT,SUCCESS,237.21,EUR,116.86,,,AliExpress,2026-07-11 05:53:00,
1e062730-4a39-49ea-874e-fdb3b9f116df,****0202,CARD_PAYMENT,PENDING,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-07-09 08:19:00,
aa72813d-5eef-4a9d-89c5-8a7cb9e05a21,,WALLET_WITHDRAW_BANK,SUCCESS,1679.05,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-08 18:58:00,
e353954f-7cf0-4766-8c6f-070a07a1ec7a,****0204,DECLINE_FEE,SUCCESS,0.29,EUR,116.86,,,FX fee for NAMECHEAP* DOMAIN,2026-07-08 10:34:00,
899cd2b5-5592-4b9e-8f1e-b9598349dbcb,****0204,CARD_PAYMENT,SUCCESS,29.03,EUR,116.86,,,Namecheap,2026-07-08 10:33:00,
a87054cc-3681-4195-8099-734458b48b08,,WALLET_TOP_UP,SUCCESS,2044.27,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-08 09:58:00,
f94da74f-8794-48fa-8009-37a20ec2e872,****0201,CARD_PAYMENT,SUCCESS,580.23,USD,96.33,,,Booking.com,2026-07-06 17:49:00,
d30f4f79-7b67-4b03-8da5-d3bf533b09ec,****0202,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-07-06 12:43:00,
42d83b69-ffea-44f9-8018-24b706b403fd,,WALLET_WITHDRAW_BANK,SUCCESS,2130.11,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-06 11:16:00,
2058c70c-8f5e-4498-8072-5a8764089683,,WALLET_WITHDRAW_BANK,SUCCESS,2538.49,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-06 01:29:00,
4fb5f1d8-5414-476d-8ff6-a7786cce2106,,WALLET_TOP_UP,SUCCESS,2550.57,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-07-05 21:29:00,
8de286d9-76a1-45e7-8a9c-da06524f27c5,****0201,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,,,Shopee order (DUPLICATE),2026-07-05 20:17:00,
54c303ba-2070-40da-8b22-59c01ff66550,,WALLET_TOP_UP,SUCCESS,2298.57,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-07-05 20:16:00,
e2ff80ae-35c2-46d1-862f-97a8d2439bf7,****0201,CARD_PAYMENT,SUCCESS,42.3,USD,96.33,,,Shopee order,2026-07-05 20:14:00,
dc4f1905-d44e-4976-8436-9f378f0287aa,****0204,DECLINE_FEE,SUCCESS,2.2,EUR,116.86,,,FX fee for BOOKING.COM 9931,2026-07-05 08:09:00,
61a74805-4a58-4d80-8fd5-89c465d49fe7,****0204,CARD_PAYMENT,CANCEL,220.34,EUR,116.86,,,Booking.com,2026-07-05 08:08:00,
ec6b0284-2b2d-4fca-8dd5-fee23a231f34,****0203,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-07-03 17:41:00,
c56bc294-9a37-4bd6-8c20-266d90fca95f,****0201,CARD_PAYMENT,SUCCESS,29.25,USD,96.33,,,Apple,2026-07-02 17:36:00,
a7f0e617-ee67-4edb-8e81-a27226c5ea71,****0203,CARD_PAYMENT,CANCEL,168.74,USD,1167.86,,,Booking.com,2026-07-01 19:44:00,
eb0e9ca9-b3a1-433a-817c-facb44100462,****0203,CARD_PAYMENT,SUCCESS,149.71,USD,1167.86,,,Shopee,2026-07-01 17:51:00,
ae763c3b-de1d-432c-8d7b-5733001ca353,****0201,CARD_PAYMENT,SUCCESS,588.8,USD,96.33,,,Booking.com,2026-07-01 11:10:00,
6a730a11-df7e-4646-85fd-1b1ee5556cc2,,WALLET_WITHDRAW_BANK,SUCCESS,2284.47,USD,,,,Rút về ngân hàng ACB ****2231,2026-07-01 06:45:00,
774d3d38-71ab-4b48-810f-3800eaa42452,,WALLET_TOP_UP,SUCCESS,2486.79,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-30 11:45:00,
027ee7b0-caf9-4e99-8d88-de5d563730d7,****0202,CARD_PAYMENT,SUCCESS,31.72,USD,355.72,,,Steam,2026-06-30 03:11:00,
1ba237aa-cd1b-4744-82e7-a06a6470a9f0,****0204,DECLINE_FEE,CANCEL,0.53,EUR,116.86,,,FX fee for STEAMGAMES.COM,2026-06-29 19:24:00,
fd03024b-ef04-4899-850a-3c0eae00da20,****0204,CARD_PAYMENT,SUCCESS,52.54,EUR,116.86,,,Steam,2026-06-29 19:23:00,
6ea5cd41-23af-41d7-8c48-2483a23b99b7,,WALLET_WITHDRAW_BANK,SUCCESS,2503.56,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-28 17:09:00,
3e336e9c-be04-4f68-8cb9-c193bb44ee73,****0201,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,,,Subscription NORDVPN *MONTHLY,2026-06-28 15:56:00,
36c2acd9-64b6-4a12-8e06-29c2558b005c,****0204,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,,,FX fee (DUPLICATE),2026-06-28 15:02:00,
f7d105eb-6a9d-44e0-848e-1091cf1f5bd3,****0204,DECLINE_FEE,SUCCESS,0.66,EUR,116.86,,,FX fee,2026-06-28 15:01:00,
36b9805c-6612-45a4-81e8-fd2b84909517,****0204,CARD_PAYMENT,SUCCESS,65.88,EUR,116.86,,,AliExpress (EUR),2026-06-28 15:00:00,
b47e9b0e-c367-4c55-8cb3-9d69dd752486,,WALLET_TOP_UP,SUCCESS,1499.9,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-27 23:09:00,
5560a55c-248c-4b55-8aeb-e20fee8087af,****0202,CARD_PAYMENT,SUCCESS,16,USD,355.72,,,Subscription CLOUDWAYS HOSTING,2026-06-27 09:59:00,
c33a3bc4-5bb0-4d68-8663-50b2f54b783e,****0201,CARD_PAYMENT,SUCCESS,66.22,USD,96.33,,,Amazon,2026-06-25 15:01:00,
8a260020-1bea-47a6-8146-cb09675e5d61,,WALLET_TOP_UP,SUCCESS,468.87,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-25 13:18:00,
c5b6d3c9-5bed-4160-8815-43b111d81c06,****0203,CARD_PAYMENT,SUCCESS,585.37,USD,1167.86,,,Booking.com,2026-06-24 18:50:00,
8b1b27c1-b496-49cb-82e3-204388f95084,****0203,CARD_PAYMENT,SUCCESS,75.53,USD,1167.86,,,Lazada,2026-06-24 12:17:00,
abd92397-f707-4e9c-8b55-772a4188a532,****0203,CARD_PAYMENT,SUCCESS,15,USD,1167.86,,,Subscription FIGMA.COM,2026-06-24 10:12:00,
8e86c42d-619e-42e7-8725-059c39bf7245,,WALLET_WITHDRAW_BANK,SUCCESS,2591.12,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-23 23:21:00,
28a5408c-ad1f-4b6a-8605-09532387bcfa,****0202,CARD_PAYMENT,SUCCESS,17.8,USD,355.72,,,Apple,2026-06-23 19:12:00,
133e28ca-b961-4b42-8269-9a057a16835b,****0202,CARD_PAYMENT,SUCCESS,24.61,USD,355.72,,,AliExpress,2026-06-23 05:35:00,
7665d325-c85e-43f7-8ac5-cacade18b597,,WALLET_TOP_UP,SUCCESS,2246.52,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-23 02:21:00,
d48ce303-3207-4a87-8496-7eea7c9c5e59,****0203,CARD_REFUND,SUCCESS,88,USD,1167.86,,,Hotel refund,2026-06-22 10:00:00,
8dce4bdc-8331-4fe2-8c47-980d3b0c4482,****0201,CARD_PAYMENT,SUCCESS,12.99,USD,96.33,,,Subscription CANVA* PRO MONTHLY,2026-06-21 13:40:00,
91d697c2-748f-4b91-8597-cf858e4ea84e,****0201,CARD_PAYMENT,SUCCESS,180.94,USD,96.33,,,Amazon,2026-06-20 10:48:00,
c7aeb9ba-00d6-4117-806e-29a8e701390d,****0201,CARD_PAYMENT,PENDING,190.22,USD,96.33,,,Shopee,2026-06-20 10:13:00,
7de5ae7e-2bf5-49d1-8849-b30234ff25af,****0203,CARD_PAYMENT,SUCCESS,30.55,USD,1167.86,,,The Coffee House,2026-06-19 18:09:00,
e1c99922-839e-456b-88d5-3e178c12a99a,****0201,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-06-18 11:11:00,
ece0282a-b6d8-4211-827d-4ac0f4c5811e,,WALLET_TOP_UP,SUCCESS,282.76,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-16 15:36:00,
905538e2-fdf2-4e3d-885a-954c501fb1bc,****0201,CARD_PAYMENT,SUCCESS,77.79,USD,96.33,,,Lazada,2026-06-16 06:09:00,
20e58d4c-b47a-4302-8fac-8d3082e8d974,****0203,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-06-15 15:27:00,
68f354a9-c6a1-49a2-8bf0-5feda512f45a,****0203,CARD_PAYMENT,SUCCESS,31.33,USD,1167.86,,,Steam,2026-06-15 00:16:00,
01c73a8d-c334-4918-8b3a-9a50fc49ec2a,****0201,CARD_PAYMENT,SUCCESS,480.85,USD,96.33,,,Booking.com,2026-06-14 16:45:00,
147a6e4a-4b5d-45d9-8997-6013916dcd4e,****0203,CARD_PAYMENT,SUCCESS,20.46,USD,1167.86,,,Namecheap,2026-06-14 13:56:00,
aeb447cf-69ab-4429-8f35-f812b9d62df6,****0203,CARD_PAYMENT,SUCCESS,57.82,USD,1167.86,,,Apple,2026-06-13 05:23:00,
b1611384-9dd4-4960-89d6-e8b6ccff5bbd,****0202,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-06-12 14:31:00,
0cf28949-91ff-4c2f-8597-8ec30ead480e,****0204,DECLINE_FEE,SUCCESS,0.14,EUR,116.86,,,FX fee for NAMECHEAP* DOMAIN,2026-06-10 22:38:00,
119da639-8c66-4d34-8ced-6b0a772a992e,****0204,CARD_PAYMENT,SUCCESS,13.9,EUR,116.86,,,Namecheap,2026-06-10 22:37:00,
f5ea1a74-e74c-4d8b-8cc6-4ddcd985c596,****0202,CARD_PAYMENT,SUCCESS,55.07,USD,355.72,,,Apple,2026-06-10 19:38:00,
2dbdd125-f8cf-49c4-8e14-488ca0a026c9,****0202,CARD_PAYMENT,SUCCESS,202.39,USD,355.72,,,Shopee,2026-06-09 17:05:00,
9ca0652a-dae2-4693-8c38-de10a76bd228,****0202,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-06-09 08:11:00,
dac63028-1a5c-4382-8ebd-1b511e90316d,****0201,CARD_PAYMENT,SUCCESS,116.78,USD,96.33,,,Amazon,2026-06-08 20:06:00,
567ccd45-b908-4c2f-882b-e8db77d54d1e,,WALLET_WITHDRAW_BANK,SUCCESS,2211.88,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 10:10:00,
26a089a9-a088-4c46-8413-538e693b3ba5,,WALLET_WITHDRAW_BANK,SUCCESS,2182.41,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 08:10:00,
c274d49c-62dd-49c4-8fa4-9f2d88808f16,,WALLET_WITHDRAW_BANK,SUCCESS,1143.15,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 03:22:00,
506d4b28-9aef-43d9-8011-b9e1e4bc2956,,WALLET_WITHDRAW_BANK,SUCCESS,2552.15,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-08 03:21:00,
7b1fa3a7-8d02-46c1-8030-b0079962c0d6,,WALLET_TOP_UP,SUCCESS,226.22,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-07 22:31:00,
adc93a6c-9c10-4f59-8982-5eb30d563619,,WALLET_TOP_UP,SUCCESS,2219.48,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-07 17:21:00,
6910abcb-0cb5-47ea-879f-efedecb685ea,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,,,Nhận & chuyển về ví (BÚT TOÁN TRÙNG),2026-06-07 17:10:00,
ce01887d-d189-4549-8aa9-078f8fc2e384,,WALLET_TOP_UP,SUCCESS,2597.84,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-06-07 14:10:00,
7bc92884-f8a3-4062-85f0-7dd071c8aa39,,WALLET_TOP_UP,SUCCESS,831.75,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-06-07 11:22:00,
9f720c68-6852-4db9-8659-a7a2f3988ea0,,WALLET_TOP_UP,SUCCESS,153.6,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-06 23:37:00,
3d4ae931-01f9-47d4-8543-ff7ba6b510b7,****0202,CARD_PAYMENT,SUCCESS,17.99,USD,355.72,,,Subscription NETFLIX.COM,2026-06-06 17:21:00,
0be5fbc0-b1b3-4201-8920-8f70b62e8017,****0203,CARD_PAYMENT,SUCCESS,20.92,USD,1167.86,,,Grab,2026-06-04 21:50:00,
46eef227-1e1d-4d0d-8ceb-16ff0d29e19e,****0203,CARD_PAYMENT,SUCCESS,20,USD,1167.86,,,Subscription OPENAI *CHATGPT SUBSCR,2026-06-03 17:11:00,
4216f51a-c4a0-4376-8551-7e4570619bd7,****0203,CARD_TOP_UP,FAILURE,300,USD,1167.86,,,Top-up declined,2026-06-03 13:00:00,
a3ff319c-6a98-42fb-8317-e5b6ae08db0f,,WALLET_TOP_UP,SUCCESS,183.4,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-06-02 14:59:00,
d1aa7e0e-2bcc-44b4-8370-e5cb435f1c06,,WALLET_WITHDRAW_BANK,SUCCESS,1499.2,USD,,,,Rút về ngân hàng ACB ****2231,2026-06-01 08:03:00,
42e62093-3149-4be1-8c81-f788bc966950,****0203,CARD_PAYMENT,SUCCESS,32.42,USD,1167.86,,,Uber,2026-05-31 17:53:00,
d5233ace-b71c-4f1f-8068-9fdac962a402,,WALLET_TOP_UP,SUCCESS,1524.41,USD,,,,Nhận & chuyển về ví: Payoneer (USD),2026-05-31 17:03:00,
cd6afa56-68ce-4fdf-89df-c421bc6f0933,****0201,CARD_PAYMENT,SUCCESS,85.16,USD,96.33,,,Lazada,2026-05-28 19:49:00,
b80955cd-d01e-4404-825b-e7d547d96217,****0201,CARD_PAYMENT,SUCCESS,3.99,USD,96.33,,,Subscription NORDVPN *MONTHLY,2026-05-28 16:58:00,
68647624-8255-4b07-83d1-af516359f143,,WALLET_WITHDRAW_BANK,SUCCESS,1967.43,USD,,,,Rút về ngân hàng ACB ****2231,2026-05-28 09:12:00,
eeb5eb10-8fd5-4c5f-8148-6a1d15b7eaa5,,WALLET_TOP_UP,SUCCESS,1857.88,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-05-28 01:12:00,
5dde77ce-e772-49fd-8566-d3f9a22be927,****0203,CARD_PAYMENT,SUCCESS,290.85,USD,1167.86,,,Facebook Ads,2026-05-27 18:48:00,
62668b85-0b51-4d75-8e32-f22b81bad58a,****0202,CARD_PAYMENT,SUCCESS,16,USD,355.72,,,Subscription CLOUDWAYS HOSTING,2026-05-27 15:52:00,
d155235f-2e7a-4e1b-87ee-b9ed60f4ad17,,WALLET_WITHDRAW_BANK,SUCCESS,1363.79,USD,,,,Rút về ngân hàng ACB ****2231,2026-05-26 04:53:00,
d208648e-1f4d-4076-83fc-65c26f177b76,****0202,CARD_PAYMENT,SUCCESS,64.69,USD,355.72,,,Apple,2026-05-26 01:10:00,
f57fbd73-f761-401c-8732-54340685f629,,WALLET_TOP_UP,SUCCESS,751.45,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-05-25 21:53:00,
eed75ee6-e875-4fd1-8c52-76ede53a144e,****0203,CARD_PAYMENT,SUCCESS,15,USD,1167.86,,,Subscription FIGMA.COM,2026-05-24 20:41:00,
1721da1a-07f2-43ad-8943-f9330f738f7f,,WALLET_WITHDRAW,SUCCESS,331.83,USD,,,,Nạp vào thẻ Volcano Ads (VC01),2026-05-22 11:38:00,
9beb9938-2366-4692-81d6-2f76a5987cd2,****0201,CARD_TOP_UP,SUCCESS,331.83,USD,96.33,,,Top-up from wallet,2026-05-22 11:38:00,
89486210-211c-4bb5-8e63-bcf15f3be02a,,WALLET_TOP_UP,SUCCESS,1021.88,USD,,,,Nhận & chuyển về ví: Paypal (USD),2026-05-22 07:38:00,
52b1aa10-77f3-4edd-8efd-583138c3b4f8,****0203,CARD_PAYMENT,SUCCESS,375.77,USD,1167.86,,,Facebook Ads,2026-05-21 20:39:00,
4044ac28-dff3-4f9f-89d3-0e20916614b6,****0201,CARD_PAYMENT,FAILURE,12.99,USD,96.33,,,Subscription CANVA* PRO MONTHLY,2026-05-21 08:03:00,
229457dc-a554-410c-86c8-ff0f7ab75619,****0206,CARD_PAYMENT,SUCCESS,66.9,USD,84.19,,,Trial card spend,2026-05-19 16:00:00,
